고객ID,사용기기,사용OS,유입경로,회원상태,거주지,연령,성별,서비스총구매수,총구매금액,총수정요청수,총추가결제금액
1001010041,iPhone,iOS11.4.1,유튜브,정상회원,경기도,25,남성,1,44500,0,14500
10010100410,SM-N935S,Android7.0,검색광고,정상회원,경기도,26,,1,44500,0,14500
1.00101E+11,iPhone,iOS12.0,네이버블로그,정상회원,경기도,23,남성,1,34500,0,14500
1.00101E+11,iPhone,iOS11.4.1,인스타그램,정상회원,경기도,20,남성,1,364500,0,14500
1.00101E+11,iPhone,iOS11.4.1,직접검색,정상회원,경기도,28,남성,1,34500,0,14500
1.00101E+11,SM-G955N,Android8.0.0,검색광고,정상회원,경상도,26,남성,1,24500,0,14500
10010100412,SM-N935S,Android7.0,네이버블로그,정상회원,경상도,41,,1,19500,0,14500
1.00101E+11,SM-G930S,Android8.0.0,네이버블로그,정상회원,경상도,23,남성,1,52800,1,32800
1.00101E+11,SM-G960N,Android8.0.0,네이버블로그,정상회원,경상도,22,남성,1,24500,0,14500
1.00101E+11,iPhone,iOS11.4.1,네이버블로그,정상회원,경상도,28,남성,1,34500,0,14500
1.00101E+11,SM-A530N,Android7.1.1,유튜브,정상회원,경상도,22,남성,1,114500,0,14500
1.00101E+11,SM-N935S,Android7.0,유튜브,정상회원,경상도,21,남성,1,34500,0,14500
1.00101E+11,iPhone,iOS12.0,유튜브,정상회원,경상도,30,남성,1,514500,0,14500
1.00101E+11,iPhone,iOS12.0,네이버블로그,정상회원,전라도,23,,1,114500,0,14500
1.00101E+11,SM-A530N,Android7.1.1,유튜브,정상회원,경상도,28,,1,47500,0,14500
1.00101E+11,SM-G955N,Android8.0.0,네이버카페,정상회원,경상도,31,여성,1,132800,1,32800
1.00101E+11,iPhone,iOS11.4.1,유튜브,정상회원,경상도,22,여성,1,0,-1,0
1.00101E+11,iPhone,iOS11.4.1,유튜브,정상회원,경상도,30,남성,1,44500,0,14500
1.00101E+11,iPhone,iOS11.4.1,네이버블로그,정상회원,경상도,27,남성,1,44500,0,14500
1.00101E+11,SM-A530N,Android7.1.1,네이버블로그,정상회원,경상도,23,여성,1,159500,0,14500
1.00101E+11,SM-N935S,Android7.0,검색광고,정상회원,충청도,25,여성,1,64500,0,14500
1.00101E+11,iPhone,iOS12.0,유튜브,정상회원,충청도,22,여성,1,34500,0,14500
1.00101E+11,iPhone,iOS12.0,네이버블로그,정상회원,강원도,30,남성,1,91500,0,14500
1.00101E+11,LG-F800S,Android8.0.0,네이버블로그,정상회원,경기도,35,남성,1,19500,0,14500
10010100429,iPhone,iOS12.0,유튜브,정상회원,경기도,27,남성,1,64500,0,14500
10010100430,iPhone,iOS12.0,유튜브,정상회원,경기도,24,남성,1,44500,0,14500
10010100441,iPhone,iOS11.4.1,네이버블로그,정상회원,경기도,31,남성,2,149000,0,29000
10010100444,SM-T820,Android7.0,네이버블로그,정상회원,경기도,26,여성,1,44500,0,14500
10010100445,SM-G965N,Android8.0.0,네이버블로그,정상회원,경기도,25,남성,1,43500,0,14500
10010100447,SM-G930S,Android8.0.0,네이버블로그,정상회원,서울시,25,남성,1,44500,0,14500
10010100448,SM-G965N,Android8.0.0,네이버카페,정상회원,서울시,23,,1,34500,0,14500
1001010045,SM-G930S,Android8.0.0,유튜브,정상회원,서울시,25,여성,1,114500,0,14500
10010100452,SM-G955N,Android8.0.0,네이버카페,정상회원,서울시,32,여성,1,24500,0,14500
10010100469,LG-F800S,Android8.0.0,검색광고,정상회원,서울시,27,남성,1,0,-1,0
1001010047,SM-G965N,Android8.0.0,네이버카페,정상회원,서울시,23,남성,1,34500,0,14500
10010100470,SM-G930S,Android8.0.0,검색광고,정상회원,서울시,23,,1,164500,0,14500
10010100471,SM-G965N,Android8.0.0,검색광고,정상회원,서울시,21,남성,1,25500,0,14500
10010100487,SM-G965N,Android8.0.0,검색광고,정상회원,서울시,37,남성,1,19500,0,14500
10010100494,SM-J111F,Android5.1.1,유튜브,정상회원,서울시,25,남성,1,19500,0,14500
1001010051,SM-G965N,Android8.0.0,검색광고,정상회원,서울시,,남성,1,22100,0,7100
1.00101E+11,SM-G965N,Android8.0.0,유튜브,정상회원,서울시,28,남성,1,17100,0,7100
1.00101E+11,SM-N910S,Android6.0.1,유튜브,정상회원,서울시,25,남성,1,27100,0,7100
1.00101E+11,SM-N910S,Android6.0.1,네이버카페,정상회원,서울시,27,여성,1,157100,0,7100
1.00101E+11,SM-N935S,Android7.0,유튜브,정상회원,서울시,26,남성,1,57100,0,7100
10010100511,SM-N935S,Android7.0,네이버블로그,정상회원,서울시,25,남성,1,107100,0,7100
