기업명,기업코드,공시신용등급,감성지수,ESG등급,환경,사회,지배구조,GMM_Cluster
AJ네트웍스,95570,BBB+,0.841752427,B+,C,A,B+,2
AK홀딩스,6840,A-,0.99111015,A,A,A+,B+,3
BGF,27410,AA,0.960580457,A,A,A+,B+,3
BGF리테일,282330,AA-,-0.487005622,A,A,A+,A,3
BGF에코머티리얼즈,126600,AA,0.641714231,B,B,B,B,2
BNK금융지주,138930,AAA,0.768946573,A,A+,A+,A,3
BYC,1460,BBB,0.738092254,D,D,D,C,1
CJ,1040,BBB+,0.945474316,A,A,A+,A,3
CJ CGV,79160,B+,0.356829862,A,A+,A+,A,3
CJ ENM,35760,A+,0.99558698,A,B+,A+,B+,3
CJ 바이오사이언스,311690,A,0.950113972,B+,C,B+,B+,2
CJ대한통운,120,AA-,0.606413825,A,A,A+,B+,3
CJ씨푸드,11150,AA,0.910601881,B+,A,A,B,2
CJ제일제당,97950,AA,0.889490291,A,A,A,B+,3
CJ프레시웨이,51500,A,0.670831953,A,A,A,B+,3
CS홀딩스,590,A-,0.277303485,C,D,D,B,1
DB,12030,A-,0.793588215,C,D,B,C,1
DB손해보험,5830,BBB,0.750487093,B+,A,A,B+,2
DB증권,16610,AA-,0.547679849,B,C,C,B+,2
DB하이텍,990,BB-,0.745440601,C,B+,A,D,1
DL,210,A-,0.953849731,A,A,A+,A,3
DL이앤씨,375500,B,0.451509565,A,A,A+,A,3
DN오토모티브,7340,AA,0.985622445,C,C,C,C,1
DRB동일,4840,BBB-,0.533316847,B+,B+,A,B+,2
DSR,155660,BB+,0.866374994,C,C,C,C,1
DSR제강,69730,A,0.466610884,C,D,D,B,1
E1,17940,A+,0.813907516,A,A,A+,B+,3
F&F,383220,BBB,0.721199786,A,A+,A+,B,3
F&F 홀딩스,7700,BB+,0.757636994,A,A+,A+,A,3
GKL,114090,AA-,0.636628215,A,A+,A,A,3
GS,78930,AA,0.729987085,B+,B+,A,B+,2
GS건설,6360,A-,0.948047385,A,A,A+,B+,3
GS글로벌,1250,BBB+,0.703028549,B+,B+,A,B+,2
GS리테일,7070,A-,0.695746878,A+,A+,A+,A,4
HDC,12630,AA,0.994641038,C,A,A+,D,1
HDC랩스,39570,AA-,0.656897847,B,C,A,B,2
HDC현대EP,89470,B+,0.651098317,B+,B+,A,B+,2
HDC현대산업개발,294870,A-,0.532617097,A,A,A+,A,3
